Country Name,Country Code,Year,Value
Europe & Central Asia (excluding high income),ECA,1960,
Europe & Central Asia (excluding high income),ECA,1961,
Europe & Central Asia (excluding high income),ECA,1962,
Europe & Central Asia (excluding high income),ECA,1963,
Europe & Central Asia (excluding high income),ECA,1964,
Europe & Central Asia (excluding high income),ECA,1965,
Europe & Central Asia (excluding high income),ECA,1966,
Europe & Central Asia (excluding high income),ECA,1967,
Europe & Central Asia (excluding high income),ECA,1968,
Europe & Central Asia (excluding high income),ECA,1969,
Europe & Central Asia (excluding high income),ECA,1970,
Europe & Central Asia (excluding high income),ECA,1971,
Europe & Central Asia (excluding high income),ECA,1972,
Europe & Central Asia (excluding high income),ECA,1973,
Europe & Central Asia (excluding high income),ECA,1974,
Europe & Central Asia (excluding high income),ECA,1975,
Europe & Central Asia (excluding high income),ECA,1976,
Europe & Central Asia (excluding high income),ECA,1977,
Europe & Central Asia (excluding high income),ECA,1978,
Europe & Central Asia (excluding high income),ECA,1979,
Europe & Central Asia (excluding high income),ECA,1980,
Europe & Central Asia (excluding high income),ECA,1981,
Europe & Central Asia (excluding high income),ECA,1982,
Europe & Central Asia (excluding high income),ECA,1983,
Europe & Central Asia (excluding high income),ECA,1984,
Europe & Central Asia (excluding high income),ECA,1985,
Europe & Central Asia (excluding high income),ECA,1986,
Europe & Central Asia (excluding high income),ECA,1987,
Europe & Central Asia (excluding high income),ECA,1988,
Europe & Central Asia (excluding high income),ECA,1989,
Europe & Central Asia (excluding high income),ECA,1990,6902.03607950387
Europe & Central Asia (excluding high income),ECA,1991,6726.86440739926
Europe & Central Asia (excluding high income),ECA,1992,6200.66516000375
Europe & Central Asia (excluding high income),ECA,1993,5998.24716311581
Europe & Central Asia (excluding high income),ECA,1994,5460.93552286512
Europe & Central Asia (excluding high income),ECA,1995,5483.37835671933
Europe & Central Asia (excluding high income),ECA,1996,5553.25477187188
Europe & Central Asia (excluding high income),ECA,1997,5764.43939560999
Europe & Central Asia (excluding high income),ECA,1998,5260.09977363332
Europe & Central Asia (excluding high income),ECA,1999,5425.56420046806
Europe & Central Asia (excluding high income),ECA,2000,6056.71025325698
Europe & Central Asia (excluding high income),ECA,2001,6447.0910512053
Europe & Central Asia (excluding high income),ECA,2002,6911.81466747388
Europe & Central Asia (excluding high income),ECA,2003,7574.14180249066
Europe & Central Asia (excluding high income),ECA,2004,8517.72713099206
Europe & Central Asia (excluding high income),ECA,2005,9535.11688624669
Europe & Central Asia (excluding high income),ECA,2006,11338.5023642904
Europe & Central Asia (excluding high income),ECA,2007,12676.2127625878
Europe & Central Asia (excluding high income),ECA,2008,14534.8209631196
Europe & Central Asia (excluding high income),ECA,2009,14032.2246732442
Europe & Central Asia (excluding high income),ECA,2010,15007.1504965017
Europe & Central Asia (excluding high income),ECA,2011,16496.6829526053
Europe & Central Asia (excluding high income),ECA,2012,17525.4108966874
Europe & Central Asia (excluding high income),ECA,2013,18846.29796903
Europe & Central Asia (excluding high income),ECA,2014,19261.0438386368
Europe & Central Asia (excluding high income),ECA,2015,19002.8654004665
Europe & Central Asia (excluding high income),ECA,2016,19411.03929877
Europe & Central Asia (excluding high income),ECA,2017,20647.6514630987
Europe & Central Asia (excluding high income),ECA,2018,21978.9562323338
Europe & Central Asia (excluding high income),ECA,2019,22362.0680555677
Europe & Central Asia (excluding high income),ECA,2020,22227.161170969
Kazakhstan,KAZ,1960,
Kazakhstan,KAZ,1961,
Kazakhstan,KAZ,1962,
Kazakhstan,KAZ,1963,
Kazakhstan,KAZ,1964,
Kazakhstan,KAZ,1965,
Kazakhstan,KAZ,1966,
Kazakhstan,KAZ,1967,
Kazakhstan,KAZ,1968,
Kazakhstan,KAZ,1969,
Kazakhstan,KAZ,1970,
Kazakhstan,KAZ,1971,
Kazakhstan,KAZ,1972,
Kazakhstan,KAZ,1973,
Kazakhstan,KAZ,1974,
Kazakhstan,KAZ,1975,
Kazakhstan,KAZ,1976,
Kazakhstan,KAZ,1977,
Kazakhstan,KAZ,1978,
Kazakhstan,KAZ,1979,
Kazakhstan,KAZ,1980,
Kazakhstan,KAZ,1981,
Kazakhstan,KAZ,1982,
Kazakhstan,KAZ,1983,
Kazakhstan,KAZ,1984,
Kazakhstan,KAZ,1985,
Kazakhstan,KAZ,1986,
Kazakhstan,KAZ,1987,
Kazakhstan,KAZ,1988,
Kazakhstan,KAZ,1989,
Kazakhstan,KAZ,1990,
Kazakhstan,KAZ,1991,
Kazakhstan,KAZ,1992,
Kazakhstan,KAZ,1993,6820
Kazakhstan,KAZ,1994,6160
Kazakhstan,KAZ,1995,5880
Kazakhstan,KAZ,1996,6090
Kazakhstan,KAZ,1997,6380
Kazakhstan,KAZ,1998,6440
Kazakhstan,KAZ,1999,6640
Kazakhstan,KAZ,2000,7250
Kazakhstan,KAZ,2001,8540
Kazakhstan,KAZ,2002,9620
Kazakhstan,KAZ,2003,10540
Kazakhstan,KAZ,2004,11650
Kazakhstan,KAZ,2005,12580
Kazakhstan,KAZ,2006,13910
Kazakhstan,KAZ,2007,15240
Kazakhstan,KAZ,2008,15360
Kazakhstan,KAZ,2009,16030
Kazakhstan,KAZ,2010,16710
Kazakhstan,KAZ,2011,17790
Kazakhstan,KAZ,2012,19050
Kazakhstan,KAZ,2013,21900
Kazakhstan,KAZ,2014,22190
Kazakhstan,KAZ,2015,21760
Kazakhstan,KAZ,2016,21490
Kazakhstan,KAZ,2017,22160
Kazakhstan,KAZ,2018,22940
Kazakhstan,KAZ,2019,24040
Kazakhstan,KAZ,2020,24400
Kyrgyz Republic,KGZ,1960,
Kyrgyz Republic,KGZ,1961,
Kyrgyz Republic,KGZ,1962,
Kyrgyz Republic,KGZ,1963,
Kyrgyz Republic,KGZ,1964,
Kyrgyz Republic,KGZ,1965,
